Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-ma1,128525382,128525453,trnascan-scaffold-ma1-noncoding-Pseudo_NNN-gene-428.0,NA,NA,NA,27.96317821,2.320293065,1.384997136,0.000682915,0.040643038
scaffold-ma1,135800778,135858969,maker-scaffold-ma1-augustus-gene-452.16,ubr3,UBR3,UBR3,77.76033841,-2.820683567,1.001399896,9.77e-05,0.01232249
scaffold-ma1,142274298,142290368,augustus_masked-scaffold-ma1-processed-gene-474.5,dhrs7b,DHRS7B,LOC106539589,42.7691151,-2.786723287,1.264144691,0.000234505,0.020597607
scaffold-ma1,146360872,146396117,maker-scaffold-ma1-augustus-gene-488.4,mfsd6,MFSD6,MFSD6,133.0946841,2.868146548,0.759991264,1.5e-05,0.003310393
scaffold-ma1,153174379,153179339,maker-scaffold-ma1-augustus-gene-510.3,ctla4,LOC103059705,CTLA4,15.94740839,-3.263333067,2.632140095,6.73e-05,0.009630083
scaffold-ma1,165669949,165710695,maker-scaffold-ma1-augustus-gene-552.11,setdb2,SETDB2,SETDB2,10.59811141,-2.027968955,2.417328003,0.0003144,0.02471727
scaffold-ma1,164873525,164889522,maker-scaffold-ma1-augustus-gene-550.10,rcbtb2,RCBTB2,LOC106540260,16.55526924,2.717760885,2.053211963,0.000401152,0.028702682
scaffold-ma1,179916704,179918614,maker-scaffold-ma1-augustus-gene-599.15,cpb2,CPB2,LOC106555745,715.2560872,-2.463220639,1.177822561,0.000360037,0.026736503
scaffold-ma1,211685696,211715867,maker-scaffold-ma1-augustus-gene-705.8,bach2,BACH2,BACH2,22.41599283,2.365902469,2.156858582,0.000568079,0.036405958
scaffold-ma1,297712735,297726475,maker-scaffold-ma1-augustus-gene-992.18,NA,NA,NA,830.2274768,2.000368217,1.202789042,0.00089079,0.048437959
scaffold-ma5,7626944,7659365,maker-scaffold-ma5-augustus-gene-25.7,rasgef1a,RASGEF1A,RASGEF1A,13.45752076,2.651446078,2.24107957,0.000337423,0.025733052
scaffold-ma5,53192943,53212329,maker-scaffold-ma5-augustus-gene-177.8,c3h3orf70,CUNH3orf70,CUNH3orf70,46.56009318,-2.02274166,1.075627668,0.000638498,0.039284623
scaffold-ma5,83986260,84000775,maker-scaffold-ma5-augustus-gene-280.5,ahsg,AHSG,AHSG,70.47604611,-3.082575768,1.160243147,9.67e-05,0.01232249
scaffold-mi3,1364193,1371334,maker-scaffold-mi3-augustus-gene-4.9,anxa2,ANXA2,ANXA2,267.2993592,-2.692079024,1.032725783,0.000148145,0.015977254
scaffold-mi3,2490155,2504127,maker-scaffold-mi3-augustus-gene-8.21,ttpal,PTPN9,LOC106556041,39.94147915,2.806727665,1.214464177,0.000201274,0.018310163
scaffold-mi3,13056837,13059939,maker-scaffold-mi3-augustus-gene-43.22,slc51b,SLC51B,SLC51B,23.22810641,-2.851463256,1.60371701,0.000333538,0.02558998
scaffold-ma6,12144312,12156983,maker-scaffold-ma6-augustus-gene-40.3,psmb8,PSMB8,PSMB5,462.3340845,-3.034489313,1.13902657,0.000100552,0.012433289
scaffold-ma6,44537181,44564917,maker-scaffold-ma6-augustus-gene-148.8,nr1h4,NR1H4,NR1H4,101.3647945,2.116036553,1.201526936,0.000720434,0.042028347
scaffold-ma6,58636239,58637048,augustus_masked-scaffold-ma6-processed-gene-195.0,LOC107982730,LOC103061320,LOC106541018,78.73389323,-3.593956926,1.341723077,5.08e-05,0.007889986
scaffold-ma2,7489706,7493486,maker-scaffold-ma2-augustus-gene-25.4,ddit4,DDIT4,DDIT4L,92.14655617,4.429204144,1.155597723,1.66e-06,0.000638982
scaffold-ma2,24029472,24035274,maker-scaffold-ma2-augustus-gene-80.4,bhlhe40,BHLHE40,BHLHE40,35.75526052,2.895468142,1.907041168,0.000329743,0.025452161
scaffold-ma2,24029472,24035274,maker-scaffold-ma2-augustus-gene-80.4,bhlhe40,BHLHE40,BHLHE40,402.1599242,4.893955703,1.182031019,2.73e-07,0.000139091
scaffold-ma2,33274450,33289409,maker-scaffold-ma2-augustus-gene-111.9,ip6k2,IP6K2,IP6K2,397.6465489,3.649649982,1.099902543,1.74e-05,0.003696259
scaffold-ma2,33274450,33289409,maker-scaffold-ma2-augustus-gene-111.9,ip6k2,IP6K2,IP6K2,405.8984751,3.055940843,1.288928606,0.000144368,0.015715085
scaffold-ma2,33764314,33772176,augustus_masked-scaffold-ma2-processed-gene-112.7,LOC107983262,NA,LOC106552097,34.69878466,-3.786657414,2.911996848,2.3e-05,0.004716084
scaffold-ma2,47014865,47027314,maker-scaffold-ma2-augustus-gene-156.20,grm2,GRM2,LOC106546936,52.7404439,3.291712025,2.050441391,0.000156105,0.016296304
scaffold-ma2,47799813,47810487,maker-scaffold-ma2-augustus-gene-159.5,cish,CISH,CISH,106.3261128,2.711247356,1.622375725,0.000433692,0.029537435
scaffold-ma2,47799813,47810487,maker-scaffold-ma2-augustus-gene-159.5,cish,CISH,CISH,75.73038242,2.375574657,1.799439511,0.000797665,0.045655794
scaffold-ma2,52100087,52115948,maker-scaffold-ma2-augustus-gene-173.27,f12,HGFAC,F12,126.2337167,-2.738995306,1.148268932,0.000194256,0.018310163
scaffold-ma2,86992046,87012243,maker-scaffold-ma2-augustus-gene-290.5,LOC100554667,LOC103067414,LOC106540565,35.46336307,-2.355652266,1.388860568,0.000644858,0.03948516
scaffold-ma2,93203329,93235519,maker-scaffold-ma2-augustus-gene-311.10,fbf1,FBF1,LOC106537434,49.15351581,-4.54339333,1.548183474,8.32e-06,0.002161393
scaffold-ma2,111116550,111133367,maker-scaffold-ma2-augustus-gene-370.5,asic1,ASIC1,LOC106552611,22.20049321,-4.195390988,1.345227185,1.13e-05,0.002766039
scaffold-ma2,142302153,142309467,augustus_masked-scaffold-ma2-processed-gene-474.5,acp5,ACP5,NA,30.46133435,-2.382829646,1.408429491,0.00063078,0.039011255
scaffold-ma2,143305892,143328546,augustus_masked-scaffold-ma2-processed-gene-477.3,popdc2,POPDC2,POPDC2,62.63008052,-2.955333652,1.279269647,0.000173422,0.017474351
scaffold-ma2,146488348,146495433,maker-scaffold-ma2-augustus-gene-488.9,hsd3b1,LOC103067418,LOC106542700,72.89045838,-2.660512659,1.099171644,0.000197754,0.018310163
scaffold-ma2,160254206,160257548,maker-scaffold-ma2-augustus-gene-534.11,mrpl50,MRPL50,MRPL50,74.15355013,-3.189194073,1.796558392,0.000197797,0.018310163
scaffold-ma2,178060393,178070754,maker-scaffold-ma2-augustus-gene-593.7,LOC100566148,LOC103057652,LOC106551360,92.25208727,-2.713711036,0.975493778,0.000112238,0.013031098
scaffold-ma2,183513315,183518992,maker-scaffold-ma2-augustus-gene-611.4,ctsl,CTSL,LOC106550969,56.77940277,3.623019039,0.931853182,4.83e-06,0.001404739
scaffold-ma2,202471953,202485431,augustus_masked-scaffold-ma2-processed-gene-675.0,LOC100561857,LOC103048450,LOC106551013,33.11277974,-3.436402107,1.284445941,6.27e-05,0.009287028
scaffold-mi8,209354,210364,augustus_masked-scaffold-mi8-processed-gene-0.7,LOC100562088,LOC103059882,LOC106547094,12.33313476,-2.388124135,2.09158791,0.000617146,0.038647068
scaffold-un17,204353,204784,augustus_masked-scaffold-un17-processed-gene-0.5,NA,NA,NA,36.13008905,2.322784609,1.117018782,0.000404506,0.028780921
scaffold-un323,11508,13834,augustus_masked-scaffold-un323-processed-gene-0.0,NA,NA,NA,48.47297117,-4.141957448,2.00103418,3.21e-05,0.005765811
scaffold-un150,12814,21340,maker-scaffold-un150-augustus-gene-0.4,NA,NA,NA,122.024566,2.079239554,1.281202877,0.000893602,0.048437959
scaffold-un569,6437,6979,maker-scaffold-un569-augustus-gene-0.0,NA,NA,NA,36.78945,-2.982668675,1.380855206,0.000199951,0.018310163
scaffold-un1871,415,1461,augustus_masked-scaffold-un1871-processed-gene-0.0,NA,NA,NA,982.4508764,-4.326674397,1.009084511,4.35e-07,0.000205303
scaffold-un1871,415,1461,augustus_masked-scaffold-un1871-processed-gene-0.0,NA,NA,NA,41.63969793,-4.804554304,1.18900721,4.53e-07,0.000205965
scaffold-un194,21423,23743,augustus_masked-scaffold-un194-processed-gene-0.0,NA,NA,NA,87.08306506,2.29829097,1.363664078,0.000689074,0.04081883
scaffold-un144,6045,7869,maker-scaffold-un144-augustus-gene-0.2,NA,NA,NA,28.67982505,-4.384484544,1.651774356,1.51e-05,0.003310393
scaffold-un187,22386,23524,maker-scaffold-un187-augustus-gene-0.1,NA,NA,NA,746.3950604,4.611013819,1.904237923,1.17e-05,0.002813144
