Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi6,6152537,6177122,augustus_masked-scaffold-mi6-processed-gene-20.6,gpt2,GPT2,LOC106554518,burlywood,0.880329536,0.678549501,164.5002468,-2.47874519,0.85009632,5.97e-05,0.002847064
scaffold-mi6,11231773,11301092,maker-scaffold-mi6-augustus-gene-37.5,LOC100560913,CDH8,CDH11,antiquewhite1,0.807045097,0.529151079,7.127260402,-2.10348144,1.403756659,0.001113093,0.022032143
scaffold-ma6,5709960,5711425,maker-scaffold-ma6-augustus-gene-19.4,c8g,C8G,LOC106541987,darkgreen,0.875718153,0.772465527,295.7926535,-1.848339795,0.532770939,1.84e-05,0.00115454
scaffold-ma2,1275648,1286725,maker-scaffold-ma2-augustus-gene-4.16,pbx2,PBX2,PBX2,burlywood,0.989798958,0.752962796,24.04037648,2.382232006,0.942283721,0.000162697,0.005735822
scaffold-ma2,7313534,7332546,augustus_masked-scaffold-ma2-processed-gene-24.4,impdh2,IMPDH2,IMPDH2,darkgreen,0.883602635,0.498983895,18.1081894,1.596946122,0.967049489,0.002527282,0.038273786
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.859553806,0.798404353,108.3818991,-3.914523628,0.942726917,2.22e-07,4.67e-05
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.859553806,0.798404353,13.96134358,-2.312931101,1.246954394,0.000570065,0.013840104
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.859553806,0.798404353,9.446580918,-1.762629128,1.282005557,0.002600075,0.038660258
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.863475252,0.890553173,108.3818991,-3.914523628,0.942726917,2.22e-07,4.67e-05
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.863475252,0.890553173,13.96134358,-2.312931101,1.246954394,0.000570065,0.013840104
scaffold-ma2,18900960,18937806,maker-scaffold-ma2-augustus-gene-63.17,atp7b,ATP7B,ATP7A,burlywood,0.863475252,0.890553173,9.446580918,-1.762629128,1.282005557,0.002600075,0.038660258
scaffold-ma2,18959983,18993214,augustus_masked-scaffold-ma2-processed-gene-63.7,nek5,NEK5,NEK5,burlywood,0.888520465,0.714986396,32.12921013,-1.457408072,0.891868172,0.003212427,0.044567347
scaffold-ma2,36415606,36422394,maker-scaffold-ma2-augustus-gene-121.11,LOC100554414,LOC103057872,LOC106549518,darkgreen,0.823404424,0.472393658,83.33964886,-1.278172928,0.700457856,0.002766862,0.040367606
scaffold-ma2,36415606,36422394,maker-scaffold-ma2-augustus-gene-121.11,LOC100554414,LOC103057872,LOC106549518,burlywood,0.902007539,0.759576062,83.33964886,-1.278172928,0.700457856,0.002766862,0.040367606
scaffold-ma2,44835370,44890130,augustus_masked-scaffold-ma2-processed-gene-149.3,LOC100553301,LOC103060470,LOC106554613,magenta2,0.861901718,0.542523164,33.64405793,3.000686725,1.192755389,6.66e-05,0.003039934
scaffold-ma2,63638536,63685105,augustus_masked-scaffold-ma2-processed-gene-212.6,nktr,NKTR,NKTR,burlywood,0.855220852,0.581875889,85.45351752,-1.924062315,0.876704347,0.000561052,0.013686872
scaffold-ma2,113861153,113864934,maker-scaffold-ma2-augustus-gene-379.6,hlf,HLF,HLF,burlywood,0.954666813,0.742328344,466.9003456,-2.047777017,0.921920614,0.000459835,0.011928085
scaffold-ma2,124041948,124049304,augustus_masked-scaffold-ma2-processed-gene-413.3,ntrk1,NTRK1,LOC106540381,antiquewhite1,0.967929873,0.852401496,2396.461559,-1.707505273,0.628218096,0.000192863,0.006457013
scaffold-ma2,124041948,124049304,augustus_masked-scaffold-ma2-processed-gene-413.3,ntrk1,NTRK1,LOC106540381,antiquewhite1,0.967929873,0.852401496,134.6425309,-1.60655738,0.598458686,0.000230173,0.007389304
scaffold-ma2,124041948,124049304,augustus_masked-scaffold-ma2-processed-gene-413.3,ntrk1,NTRK1,LOC106540381,antiquewhite1,0.947932506,0.850228223,2396.461559,-1.707505273,0.628218096,0.000192863,0.006457013
scaffold-ma2,124041948,124049304,augustus_masked-scaffold-ma2-processed-gene-413.3,ntrk1,NTRK1,LOC106540381,antiquewhite1,0.947932506,0.850228223,134.6425309,-1.60655738,0.598458686,0.000230173,0.007389304
scaffold-ma2,143745329,143771965,maker-scaffold-ma2-augustus-gene-479.11,hgd,HGD,HGD,burlywood,0.881623803,0.826547529,26.28301495,-1.836984046,1.130259947,0.001786603,0.029978661
scaffold-mi8,5087601,5100246,augustus_masked-scaffold-mi8-processed-gene-17.1,frmpd3,FRMPD3,FRMPD3,darkgreen,0.868776533,0.760569019,210.5870894,-1.402701978,0.449172208,7.65e-05,0.003349412
scaffold-mi8,5087601,5100246,augustus_masked-scaffold-mi8-processed-gene-17.1,frmpd3,FRMPD3,FRMPD3,darkgreen,0.639509645,0.367280335,210.5870894,-1.402701978,0.449172208,7.65e-05,0.003349412
scaffold-mi8,5311215,5317013,maker-scaffold-mi8-augustus-gene-17.35,tat,TAT,TAT,burlywood,0.868129098,0.823126929,1267.275212,-2.042650005,0.901385102,0.000420851,0.011316933
scaffold-mi8,5311215,5317013,maker-scaffold-mi8-augustus-gene-17.35,tat,TAT,TAT,burlywood,0.916417812,0.717134557,1267.275212,-2.042650005,0.901385102,0.000420851,0.011316933
scaffold-mi8,8036674,8047598,maker-scaffold-mi8-augustus-gene-26.42,rnf215,RNF215,LOC106551478,burlywood,0.963641286,0.835795206,12.65661515,-1.833194535,1.200167799,0.002016135,0.032700103
scaffold-mi8,8036674,8047598,maker-scaffold-mi8-augustus-gene-26.42,rnf215,RNF215,LOC106551478,magenta2,0.985818883,0.755747044,12.65661515,-1.833194535,1.200167799,0.002016135,0.032700103
scaffold-un12,246390,270560,augustus_masked-scaffold-un12-processed-gene-0.7,NA,NA,NA,burlywood,0.908936197,0.671939357,105.2007162,-1.349031314,0.769795647,0.00294301,0.042333093
scaffold-un20,314568,327138,maker-scaffold-un20-augustus-gene-0.32,NA,NA,NA,burlywood,0.955575997,0.652688715,56.2918942,-2.21646539,0.874755209,0.000193237,0.006457013
scaffold-un682,1480,5237,maker-scaffold-un682-augustus-gene-0.2,NA,NA,NA,burlywood,0.823382918,0.661658344,283.6652325,-1.543318229,0.681232923,0.000716017,0.01628912
scaffold-un682,1480,5237,maker-scaffold-un682-augustus-gene-0.2,NA,NA,NA,antiquewhite1,0.824660597,0.574875272,283.6652325,-1.543318229,0.681232923,0.000716017,0.01628912
scaffold-un168,1956,3218,augustus_masked-scaffold-un168-processed-gene-0.0,NA,NA,NA,burlywood,0.91706812,0.83894934,691.6548896,-1.369198123,0.597813055,0.000812156,0.017624695
scaffold-un132,30695,33292,maker-scaffold-un132-augustus-gene-0.2,NA,NA,NA,burlywood,0.924637124,0.768981225,30.48128822,-2.540259713,0.890274259,6.52e-05,0.002999512
scaffold-un101,35730,46503,augustus_masked-scaffold-un101-processed-gene-0.2,NA,NA,NA,darkgreen,0.862073132,0.691089105,136.2190609,-1.106670145,0.608486649,0.003585381,0.048485336
scaffold-un101,35730,46503,augustus_masked-scaffold-un101-processed-gene-0.2,NA,NA,NA,burlywood,0.632281112,0.44600377,136.2190609,-1.106670145,0.608486649,0.003585381,0.048485336
scaffold-un27,196238,202371,maker-scaffold-un27-augustus-gene-0.8,NA,NA,NA,burlywood,0.946236799,0.731176798,13.07211774,-1.83829366,1.169962861,0.001905812,0.031379366
scaffold-un24,111533,113542,maker-scaffold-un24-augustus-gene-0.19,NA,NA,NA,darkgreen,0.925783913,0.774450532,101.6838137,-2.174775754,0.642255629,2e-05,0.001230843
scaffold-un24,111533,113542,maker-scaffold-un24-augustus-gene-0.19,NA,NA,NA,darkgreen,0.925783913,0.774450532,136.1289787,-1.417281411,0.568498975,0.000457881,0.011909022
scaffold-un24,111533,113542,maker-scaffold-un24-augustus-gene-0.19,NA,NA,NA,darkgreen,0.963166471,0.762353068,101.6838137,-2.174775754,0.642255629,2e-05,0.001230843
scaffold-un24,111533,113542,maker-scaffold-un24-augustus-gene-0.19,NA,NA,NA,darkgreen,0.963166471,0.762353068,136.1289787,-1.417281411,0.568498975,0.000457881,0.011909022
scaffold-un175,11109,39092,augustus_masked-scaffold-un175-processed-gene-0.0,NA,NA,NA,antiquewhite1,0.929218741,0.764786791,65.11888018,-1.905446109,0.634369584,7.49e-05,0.003315521
