Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,Module,Gene_MM,Gene_TS
scaffold-mi5,3219841,3226219,maker-scaffold-mi5-augustus-gene-10.19,tmc7,TMC7,TMC4,bisque4,0.725383558,0.415600591
scaffold-mi5,2954191,2997153,augustus_masked-scaffold-mi5-processed-gene-10.2,LOC100563359,LOC103052383,LOC106543994,midnightblue,0.748496618,0.309893257
scaffold-mi5,3301056,3353650,augustus_masked-scaffold-mi5-processed-gene-11.2,smg1,SMG1,SMG1,firebrick4,0.962827335,0.69127113
scaffold-mi5,4092458,4102877,maker-scaffold-mi5-augustus-gene-13.10,shisa9,SHISA9,LOC106554253,bisque4,0.815216397,0.69110481
scaffold-mi5,3940805,3955211,maker-scaffold-mi5-augustus-gene-13.8,snx29,SNX29,LOC106544554,bisque4,0.84012331,0.607064443
scaffold-mi5,4010510,4020565,augustus_masked-scaffold-mi5-processed-gene-13.3,LOC103282929,SNX29,NA,midnightblue,0.766193794,0.527358592
scaffold-mi5,3856528,3862125,maker-scaffold-mi5-augustus-gene-13.11,ntan1,NTAN1,NA,firebrick4,0.86107855,0.791632403
scaffold-mi5,4218814,4222935,augustus_masked-scaffold-mi5-processed-gene-14.0,shisa9,SHISA9,LOC106553266,midnightblue,0.774557667,0.957958878
scaffold-mi5,4361994,4369908,maker-scaffold-mi5-augustus-gene-14.9,eme1,EME2,EME2,midnightblue,0.746840406,0.471682722
scaffold-mi5,4369201,4376530,maker-scaffold-mi5-augustus-gene-14.11,spsb3,SPSB3,SPSB3,midnightblue,0.69621975,0.321027947
scaffold-mi5,5394442,5397531,maker-scaffold-mi5-augustus-gene-18.8,tedc2,TEDC2,LOC106554870,midnightblue,0.879989885,0.596837443
scaffold-mi5,6070511,6075650,maker-scaffold-mi5-augustus-gene-20.9,gfer,GFER,GFER,firebrick4,0.755545693,0.58726202
scaffold-mi5,6070511,6075650,maker-scaffold-mi5-augustus-gene-20.9,gfer,GFER,GFER,midnightblue,0.760347102,0.468207035
scaffold-mi5,6000724,6035024,augustus_masked-scaffold-mi5-processed-gene-20.1,LOC100559962,LOC103062173,TBL3,midnightblue,0.919894384,0.647391528
scaffold-mi5,6120027,6137499,maker-scaffold-mi5-augustus-gene-20.14,znf598,ZNF598,LOC106549546,bisque4,0.821343505,0.418530178
scaffold-mi5,5965619,5976423,maker-scaffold-mi5-augustus-gene-20.12,rps2,RPS2,RPS2,midnightblue,0.648031825,0.387006269
scaffold-mi5,6410053,6416043,maker-scaffold-mi5-augustus-gene-21.10,tsr3,TSR3,TSR3,midnightblue,0.805880372,0.612494047
scaffold-mi5,6546119,6551231,augustus_masked-scaffold-mi5-processed-gene-21.4,LOC107983616,NA,NA,midnightblue,0.66605991,0.397643765
scaffold-mi5,7376052,7393561,maker-scaffold-mi5-augustus-gene-24.17,lcmt1,LCMT1,LCMT1,bisque4,0.875820019,0.730295424
scaffold-mi5,7207261,7227533,maker-scaffold-mi5-augustus-gene-24.18,LOC100566401,LOC103063621,COG7,midnightblue,0.676178471,0.639129371
scaffold-mi5,8515758,8530415,maker-scaffold-mi5-augustus-gene-28.15,e4f1,E4F1,E4F1,midnightblue,0.835075318,0.42299397
scaffold-mi5,8613470,8636338,augustus_masked-scaffold-mi5-processed-gene-28.7,pmm2,PMM2,PMM2,midnightblue,0.719087506,0.704600743
scaffold-mi5,9805993,9838020,augustus_masked-scaffold-mi5-processed-gene-32.4,wdr24,FBXL16,FBXL16,midnightblue,0.825972811,0.631521427
scaffold-mi5,9805993,9838020,augustus_masked-scaffold-mi5-processed-gene-32.4,wdr24,FBXL16,FBXL16,midnightblue,0.806060619,0.304864211
scaffold-mi5,9701448,9715051,augustus_masked-scaffold-mi5-processed-gene-32.3,ccdc78,CCDC78,NA,firebrick4,0.915328893,0.66383244
scaffold-mi5,9716641,9721647,maker-scaffold-mi5-augustus-gene-32.18,fam173a,LOC103051097,FAM173A,firebrick4,0.914935356,0.799606056
scaffold-mi5,9913603,9929695,augustus_masked-scaffold-mi5-processed-gene-33.4,LOC100560491,LOC103058010,SEPT9,bisque4,0.936271233,0.6665561
scaffold-mi5,10365767,10372153,maker-scaffold-mi5-augustus-gene-34.5,lmf1,LOC103056519,LOC106556645,midnightblue,0.739575979,0.621892974
scaffold-mi5,10516301,10516825,augustus_masked-scaffold-mi5-processed-gene-35.0,hs3st6,HS3ST6,LOC106551733,midnightblue,0.80861654,0.517765085
scaffold-mi5,10579762,10601195,augustus_masked-scaffold-mi5-processed-gene-35.2,LOC100565980,HAGHL,LOC106543927,midnightblue,0.918522565,0.655777233
scaffold-mi5,10603231,10611478,maker-scaffold-mi5-augustus-gene-35.10,narfl,NARFL,NARFL,bisque4,0.958433458,0.624924011
scaffold-mi5,13493574,13521064,maker-scaffold-mi5-augustus-gene-44.18,ppl,PPL,PPL,bisque4,0.788095464,0.473585131
scaffold-mi5,13568340,13598139,maker-scaffold-mi5-augustus-gene-44.19,glyr1,GLYR1,GLYR1,firebrick4,0.891174422,0.689769736
scaffold-mi5,13252645,13322483,maker-scaffold-mi5-augustus-gene-44.25,wdr90,WDR90,LOC106556086,bisque4,0.784467795,0.454926213
scaffold-mi5,13252645,13322483,maker-scaffold-mi5-augustus-gene-44.25,wdr90,WDR90,LOC106556086,midnightblue,0.787894305,0.763455007
scaffold-mi2,11579,14497,maker-scaffold-mi2-augustus-gene-0.6,hpcal4,HPCAL4,HPCAL4,firebrick4,0.748832506,0.715321075
scaffold-mi2,11579,14497,maker-scaffold-mi2-augustus-gene-0.6,hpcal4,HPCAL4,HPCAL4,firebrick4,0.726711493,0.664356094
scaffold-mi2,35537,60747,augustus_masked-scaffold-mi2-processed-gene-0.2,pabpc4,LOC103055042,PABPC4,midnightblue,0.820277576,0.738909686
scaffold-mi2,87193,132829,augustus_masked-scaffold-mi2-processed-gene-0.4,macf1,MACF1,LOC106538412,midnightblue,0.760213971,0.699287393
scaffold-mi2,532118,536500,augustus_masked-scaffold-mi2-processed-gene-1.6,LOC100561732,SYNC,SYNC,bisque4,0.77653214,0.572479643
scaffold-mi2,466313,476593,maker-scaffold-mi2-augustus-gene-1.23,kiaa1522,KIAA1522,KIAA1522,midnightblue,0.656737193,0.799100843
scaffold-mi2,315081,332366,augustus_masked-scaffold-mi2-processed-gene-1.9,azin2,AZIN2,ODC1,firebrick4,0.86640332,0.48560805
scaffold-mi2,553680,559680,augustus_masked-scaffold-mi2-processed-gene-1.13,LOC100555695,LOC103058655,ZBTB8A,midnightblue,0.811551934,0.368336827
scaffold-mi2,568083,571513,maker-scaffold-mi2-augustus-gene-1.26,LOC100555695,ZBTB8B,ZBTB8B,firebrick4,0.860144083,0.726403646
scaffold-mi2,2205909,2231683,maker-scaffold-mi2-augustus-gene-7.3,adgrb2,ADGRB3,ADGRB2,firebrick4,0.720343264,0.391150262
scaffold-mi2,3200383,3210264,maker-scaffold-mi2-augustus-gene-10.11,smap2,SMAP2,SMAP2,bisque4,0.886023169,0.392071755
scaffold-mi2,3384472,3586024,augustus_masked-scaffold-mi2-processed-gene-12.0,LOC103280987,LOC103061832,LOC106543972,bisque4,0.833923782,0.749950247
scaffold-mi2,4611412,4612215,augustus_masked-scaffold-mi2-processed-gene-15.1,LOC100560487,LOC103061326,LOC106556150,bisque4,0.834360788,0.478978528
scaffold-mi2,4666835,4667116,augustus_masked-scaffold-mi2-processed-gene-15.3,smim12,SMIM12,SMIM12,firebrick4,0.876345093,0.632042608
scaffold-mi2,5008791,5016256,maker-scaffold-mi2-augustus-gene-16.9,sfpq,SFPQ,SFPQ,firebrick4,0.719739284,0.43488002
scaffold-mi2,5070791,5101670,maker-scaffold-mi2-augustus-gene-17.5,map7d1,MAP7D1,MAP7D1,bisque4,0.826350601,0.435189668
scaffold-mi2,5522367,5524880,maker-scaffold-mi2-augustus-gene-18.23,LOC100556939,APOE,LOC106544063,midnightblue,0.588357499,0.486100704
scaffold-mi2,6242724,6267142,maker-scaffold-mi2-augustus-gene-20.19,LOC100554072,ERF,ERF,midnightblue,0.917527562,0.725646251
scaffold-mi2,6430665,6437703,maker-scaffold-mi2-augustus-gene-21.18,znf575,ZNF575,ZNF575,firebrick4,0.779802985,0.282297026
scaffold-mi2,6692785,6698221,maker-scaffold-mi2-augustus-gene-22.24,LOC100566004,LOC103054571,LOC106553255,midnightblue,0.635926416,0.559240482
scaffold-mi2,6578612,6579712,augustus_masked-scaffold-mi2-processed-gene-22.0,LOC103279721,LOC103053869,NA,midnightblue,0.878821685,0.494394367
scaffold-mi2,6919687,6925496,maker-scaffold-mi2-augustus-gene-23.22,LOC100552078,LOC107326311,NA,bisque4,0.734416931,0.124751146
scaffold-mi2,8392410,8410133,maker-scaffold-mi2-augustus-gene-28.14,lsr,LSR,LSR,firebrick4,0.721964343,0.495337783
scaffold-mi2,9461303,9482491,augustus_masked-scaffold-mi2-processed-gene-31.4,LOC100554439,LOC103051353,LOC106550099,midnightblue,0.682688947,0.888780143
scaffold-mi2,9287865,9289012,augustus_masked-scaffold-mi2-processed-gene-31.1,NA,NA,NA,midnightblue,0.768791985,0.429076765
scaffold-mi2,9871937,9897877,maker-scaffold-mi2-augustus-gene-33.9,kirrel2,LOC103065366,LOC106555034,midnightblue,0.812811226,0.586248626
scaffold-mi2,10068273,10120786,maker-scaffold-mi2-augustus-gene-33.18,kmt2b,KMT2B,KMT2B,bisque4,0.857014178,0.458379376
scaffold-mi2,10423755,10427041,augustus_masked-scaffold-mi2-processed-gene-34.4,ctu1,CTU1,CTU1,firebrick4,0.642119034,0.668402271
scaffold-mi2,10706682,10722512,maker-scaffold-mi2-augustus-gene-35.11,dnajc8,DNAJC8,DNAJC8,midnightblue,0.777312822,0.556244961
scaffold-mi2,10854665,10861135,maker-scaffold-mi2-augustus-gene-36.13,rpa2,RPA2,RPA2,midnightblue,0.672103129,0.804819586
scaffold-mi2,11012739,11031828,maker-scaffold-mi2-augustus-gene-36.14,ctps1,CTPS1,LOC106539529,firebrick4,0.915074611,0.891727224
scaffold-mi2,10874938,10888300,maker-scaffold-mi2-augustus-gene-36.18,stx12,STX12,STX12,bisque4,0.735162973,0.61551869
scaffold-mi2,11097968,11100664,maker-scaffold-mi2-augustus-gene-37.4,LOC100554317,LOC103058743,LOC106553623,midnightblue,0.782545067,0.315202025
scaffold-mi2,12320819,12329251,maker-scaffold-mi2-augustus-gene-41.12,LOC100552424,CALML3,LOC106550937,bisque4,0.900389451,0.558787918
scaffold-mi2,14457997,14472596,maker-scaffold-mi2-augustus-gene-48.4,srsf6,SRSF4,SRSF4,firebrick4,0.652791746,0.424173453
scaffold-mi2,14542092,14579897,maker-scaffold-mi2-augustus-gene-48.5,l3mbtl3,LOC103065476,LOC106553699,firebrick4,0.897373241,0.689905505
scaffold-mi2,14943183,14953794,maker-scaffold-mi2-augustus-gene-49.7,trnau1ap,TRNAU1AP,TRNAU1AP,midnightblue,0.492182754,0.610256936
scaffold-mi2,14961129,14973605,augustus_masked-scaffold-mi2-processed-gene-49.3,rab39a,LOC103050507,LOC106537586,midnightblue,0.868340803,0.380835314
scaffold-mi2,15026305,15038684,maker-scaffold-mi2-augustus-gene-50.6,gmeb1,GMEB1,GMEB1,bisque4,0.83318563,0.613303908
scaffold-mi2,15134467,15181215,maker-scaffold-mi2-augustus-gene-50.8,msra,LOC103068096,LOC106555889,midnightblue,0.725421355,0.725012159
scaffold-mi2,15134467,15181215,maker-scaffold-mi2-augustus-gene-50.8,msra,LOC103068096,LOC106555889,midnightblue,0.81142608,0.618350804
scaffold-mi2,14974636,14980574,maker-scaffold-mi2-augustus-gene-50.10,taf12,TAF12,TAF12,midnightblue,0.812854239,0.655348653
scaffold-mi2,16620590,16645248,augustus_masked-scaffold-mi2-processed-gene-55.3,sytl1,SYTL1,LOC106544809,midnightblue,0.500763916,0.131189682
scaffold-mi2,17029362,17031725,maker-scaffold-mi2-augustus-gene-56.18,gpn2,GPN2,GPN2,midnightblue,0.875403314,0.481942286
scaffold-mi2,17104153,17105469,augustus_masked-scaffold-mi2-processed-gene-57.1,pigv,PIGV,PIGV,firebrick4,0.636702693,0.215391358
scaffold-mi2,17483035,17487036,maker-scaffold-mi2-augustus-gene-58.9,lin28a,LIN28A,LIN28A,bisque4,0.84012331,0.607064443
scaffold-mi2,17580998,17609290,maker-scaffold-mi2-augustus-gene-58.12,ubxn11,UBXN11,UBXN11,bisque4,0.84012331,0.607064443
scaffold-mi2,17386709,17397867,maker-scaffold-mi2-augustus-gene-58.14,dhdds,DHDDS,DHDDS,bisque4,0.866842141,0.631903691
scaffold-mi2,17645931,17671742,maker-scaffold-mi2-augustus-gene-58.17,cnksr1,CNKSR1,CNKSR1,bisque4,0.789397488,0.583261126
scaffold-mi2,17964748,17969781,maker-scaffold-mi2-augustus-gene-59.13,stmn1,STMN1,STMN1,midnightblue,0.739575979,0.621892974
scaffold-mi2,18674069,18685875,maker-scaffold-mi2-augustus-gene-62.6,runx3,RUNX2,RUNX3,midnightblue,0.896274324,0.539027462
scaffold-mi2,19180705,19188368,maker-scaffold-mi2-augustus-gene-64.13,srsf10,SRSF10,SRSF10,firebrick4,0.873966493,0.515093532
scaffold-mi2,19380960,19382652,maker-scaffold-mi2-augustus-gene-64.25,cap1,CAP1,CAP1,firebrick4,0.679370911,0.508481066
scaffold-mi2,19304195,19331514,maker-scaffold-mi2-augustus-gene-64.22,eloa,ELOA,ELOA,midnightblue,0.821870616,0.36807394
scaffold-mi2,19671665,19678554,maker-scaffold-mi2-augustus-gene-65.12,tfap2e,TFAP2E,TFAP2E,firebrick4,0.85022991,0.785399727
scaffold-mi2,19757497,19764914,maker-scaffold-mi2-augustus-gene-65.18,ogfr,OGFR,LOC106553743,firebrick4,0.874360769,0.799033978
scaffold-mi7,14377,17287,maker-scaffold-mi7-augustus-gene-0.4,rere,LOC103060580,RERE,midnightblue,0.887693449,0.637577989
scaffold-mi7,215036,219523,maker-scaffold-mi7-augustus-gene-0.7,hes4,LOC103056990,HES1,midnightblue,0.905721505,0.493466891
scaffold-mi7,422127,449277,maker-scaffold-mi7-augustus-gene-1.13,LOC100564881,LOC103048752,PTPN11,firebrick4,0.858324136,0.366040769
scaffold-mi7,368422,413960,augustus_masked-scaffold-mi7-processed-gene-1.4,LOC100560607,AGRN,AGRN,midnightblue,0.763892706,0.390385475
scaffold-mi7,710243,715698,maker-scaffold-mi7-augustus-gene-2.18,tmem240,TMEM240,TMEM240,firebrick4,0.83779079,0.481315042
scaffold-mi7,1068787,1073873,maker-scaffold-mi7-augustus-gene-3.19,ube2j2,UBE2J2,UBE2J2,midnightblue,0.896565417,0.451520368
scaffold-mi7,1128584,1129621,augustus_masked-scaffold-mi7-processed-gene-3.12,b3galnt2,B3GALT6,B3GALT6,midnightblue,0.911975344,0.610157916
scaffold-mi7,1359752,1367991,augustus_masked-scaffold-mi7-processed-gene-4.6,gabrb2,GABRD,GABRD,midnightblue,0.831161757,0.588446617
scaffold-mi7,1178732,1182015,maker-scaffold-mi7-augustus-gene-4.20,LOC100556751,LOC103056032,SLC35E2B,midnightblue,0.77315137,0.592304428
scaffold-mi7,1852553,1855598,maker-scaffold-mi7-augustus-gene-6.25,LOC100555360,TPRG1L,TPRG1L,firebrick4,0.745390913,0.852161367
scaffold-mi7,1948510,1956915,augustus_masked-scaffold-mi7-processed-gene-6.20,p3h3,P3H1,LOC106556648,firebrick4,0.900074014,0.479164436
scaffold-mi7,1854995,1861854,maker-scaffold-mi7-augustus-gene-6.35,wrap73,WRAP73,NA,midnightblue,0.308872943,0.217488253
scaffold-mi7,2520731,2554390,augustus_masked-scaffold-mi7-processed-gene-8.3,nol9,PLEKHG5,LOC106542067,firebrick4,0.910748508,0.719790088
scaffold-mi7,2945448,2948289,maker-scaffold-mi7-augustus-gene-9.17,znf362,ZNF362,ZNF362,midnightblue,0.897405705,0.575055648
scaffold-mi7,3012318,3033018,maker-scaffold-mi7-augustus-gene-10.28,NA,OTUD3,OTUD3,bisque4,0.851596575,0.674262345
scaffold-mi7,3115485,3123048,maker-scaffold-mi7-augustus-gene-10.32,cda,PINK1,PINK1,firebrick4,0.920394109,0.653960071
scaffold-mi7,3091464,3098373,maker-scaffold-mi7-augustus-gene-10.31,ddx25,LOC103058442,LOC106547439,bisque4,0.825550843,0.786528342
scaffold-mi7,3202047,3210381,maker-scaffold-mi7-augustus-gene-10.55,arhgef11,ARHGEF11,ARHGEF11,midnightblue,0.760221818,0.630975302
scaffold-mi7,3560512,3563759,maker-scaffold-mi7-augustus-gene-11.39,NA,NA,NA,bisque4,0.750824051,0.317907293
scaffold-mi7,3532847,3534551,maker-scaffold-mi7-augustus-gene-11.51,dhx34,LOC103048127,DHX34,bisque4,0.78664412,0.862118644
scaffold-mi7,3833850,3845072,augustus_masked-scaffold-mi7-processed-gene-12.14,LOC100567337,LOC103049447,LOC106541105,firebrick4,0.693788533,0.640076042
scaffold-mi7,3646026,3660581,maker-scaffold-mi7-augustus-gene-12.46,sptbn4,SPTBN4,SPTBN4,midnightblue,0.851927007,0.595691789
scaffold-mi7,4016617,4021519,maker-scaffold-mi7-augustus-gene-13.36,LOC103282417,KLC3,LOC106555796,bisque4,0.865953482,0.723427281
scaffold-mi7,4150449,4151561,augustus_masked-scaffold-mi7-processed-gene-13.27,gpr4,GPR4,LOC106546147,bisque4,0.679917583,0.258556891
scaffold-mi7,4039864,4049718,maker-scaffold-mi7-augustus-gene-13.52,ppp1r13l,PPP1R13L,PPP1R13L,bisque4,0.883706656,0.699329468
scaffold-mi7,4039864,4049718,maker-scaffold-mi7-augustus-gene-13.52,ppp1r13l,PPP1R13L,PPP1R13L,bisque4,0.899897923,0.504318543
scaffold-mi7,4039864,4049718,maker-scaffold-mi7-augustus-gene-13.52,ppp1r13l,PPP1R13L,PPP1R13L,bisque4,0.812455158,0.506125878
scaffold-mi7,3881573,3892444,maker-scaffold-mi7-augustus-gene-13.43,LOC100563176,LOC103066171,LOC106541084,bisque4,0.821951552,0.490857937
scaffold-mi7,3881573,3892444,maker-scaffold-mi7-augustus-gene-13.43,LOC100563176,LOC103066171,LOC106541084,midnightblue,0.801056429,0.732930939
scaffold-mi7,3933568,3940449,maker-scaffold-mi7-augustus-gene-13.48,cipc,CIPC,CIPC,firebrick4,0.900298836,0.696709995
scaffold-mi7,4159311,4165420,augustus_masked-scaffold-mi7-processed-gene-13.28,LOC100566840,EML2,LOC106553253,midnightblue,0.781446532,0.739561464
scaffold-mi7,4204763,4212531,maker-scaffold-mi7-augustus-gene-14.15,pak4,PAK4,PAK4,bisque4,0.798031106,0.768230953
scaffold-mi7,4364074,4370126,maker-scaffold-mi7-augustus-gene-14.21,kpnb1,PAF1,PAF1,midnightblue,0.791227653,0.679947901
scaffold-mi7,4668166,4670400,maker-scaffold-mi7-augustus-gene-15.22,NA,NA,NA,midnightblue,0.785420223,0.632934065
scaffold-mi7,4480971,4495424,augustus_masked-scaffold-mi7-processed-gene-15.1,supt5h,SUPT5H,SUPT5H,firebrick4,0.774930366,0.751172531
scaffold-mi7,4480971,4495424,augustus_masked-scaffold-mi7-processed-gene-15.1,supt5h,SUPT5H,SUPT5H,bisque4,0.900197646,0.597682843
scaffold-mi7,4740652,4761019,maker-scaffold-mi7-augustus-gene-15.32,arhgap35,ARHGAP35,ARHGAP35,bisque4,0.655156471,0.693428875
scaffold-mi7,4627834,4636645,maker-scaffold-mi7-augustus-gene-15.28,clip4,CLIP3,CLIP3,midnightblue,0.859218909,0.439367541
scaffold-mi7,4537178,4539675,maker-scaffold-mi7-augustus-gene-15.18,chp2,LOC103050226,CHP1,bisque4,0.791466525,0.331329813
