Chr	Start	End	GeneID	Anolis	Python	Thamnophis	lfcMean_LiverTreat	lfcSE_LiverTreat	pAdj_LiverTreat	lfcMean_LiverInter	lfcSE_LiverInter	pAdj_LiverInter	lfcMean_KidneyTreat	lfcSE_KidneyTreat	pAdj_KidneyTreat	lfcMean_KidneyInter	lfcSE_KidneyInter	pAdj_KidneyInter	lfcMean_SkinTreat	lfcSE_SkinTreat	pAdj_SkinTreat
scaffold-mi7	3881573	3892444	maker-scaffold-mi7-augustus-gene-13.43	LOC100563176	LOC103066171	LOC106541084	-3.071803891	0.762452192	0.000143338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	3881573	3892444	maker-scaffold-mi7-augustus-gene-13.43	LOC100563176	LOC103066171	LOC106541084	-1.584507554	1.04389563	0.044567347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	3906076	3913401	maker-scaffold-mi7-augustus-gene-13.45	LOC100563176	LOC103066171	LOC106541084	-2.856186518	0.954546837	0.001786277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	4810033	4814434	maker-scaffold-mi7-augustus-gene-16.18	slc1a5	SLC1A5	SLC1A4	2.154303693	0.95161301	0.010437654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	7048306	7049013	augustus_masked-scaffold-mi7-processed-gene-23.5	LOC103280789	NA	NA	2.454413247	1.392271652	0.011879369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	7727361	7731457	augustus_masked-scaffold-mi7-processed-gene-25.10	rabepk	RABEPK	KLHDC2	-1.278033228	0.698180398	0.03992983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	7816859	7825947	maker-scaffold-mi7-augustus-gene-26.24	ddr2	LOC103066505	DDR1	-1.993054542	1.526061851	0.024329919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	8912424	8942274	maker-scaffold-mi7-augustus-gene-29.18	strbp	STRBP	LOC106549833	-1.076048099	0.588117503	0.04894745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	8785314	8800520	maker-scaffold-mi7-augustus-gene-29.20	nphs2	LOC103062839	LOC106552046	2.981955916	1.723268652	0.003794716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi7	11860805	11861413	augustus_masked-scaffold-mi7-processed-gene-39.17	socs1	SOCS1	SOCS1	1.457755551	0.834333522	0.038344483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	3433760	3441317	maker-scaffold-Z-augustus-gene-11.8	gorasp1	GORASP1	LOC106539750	2.394006053	0.982354419	0.006459006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	5319462	5330554	maker-scaffold-Z-augustus-gene-17.9	zmynd15	ZMYND15	ZMYND15	-1.795536391	0.96449252	0.024363861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	7516685	7537866	maker-scaffold-Z-augustus-gene-25.4	dnajb6	DNAJB6	LOC106543257	2.658873255	0.632094133	0.000109925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	13006693	13032164	maker-scaffold-Z-augustus-gene-43.7	cul2	CUL2	CUL2	1.275274656	0.692955336	0.039422491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	24004966	24021233	maker-scaffold-Z-augustus-gene-80.5	LOC100567594	BMI1	LOC106553910	-1.876261187	0.963551877	0.020246976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	23990165	23991177	maker-scaffold-Z-augustus-gene-80.7	NA	NA	NA	-1.857917072	1.522594341	0.029097965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	35886599	35888662	maker-scaffold-Z-augustus-gene-119.6	NA	NA	NA	-2.128801525	0.674362668	0.002144047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	35043212	35057447	augustus_masked-scaffold-Z-processed-gene-116.4	npy	NPY	NPY	-4.665635644	1.254454292	4.06E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	34827182	34828710	maker-scaffold-Z-augustus-gene-116.5	ccdc126	CCDC126	CCDC126	2.010148357	1.457517678	0.025155654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	42538001	42588995	maker-scaffold-Z-augustus-gene-142.6	top2b	TOP2B	LOC106554533	1.463057958	0.888695577	0.043582303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	55736966	55747443	maker-scaffold-Z-augustus-gene-186.2	bet1	BET1	BET1	-1.966903908	0.488226056	0.000233237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	64202985	64225762	maker-scaffold-Z-augustus-gene-214.2	igfbp1	IGFBP1	IGFBP1	-1.995571483	1.289350446	0.025900337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	67294446	67299518	maker-scaffold-Z-augustus-gene-224.7	NA	LOC103053956	NA	3.145583882	0.733810815	6.93E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	73378517	73383180	maker-scaffold-Z-augustus-gene-244.29	ccdc183	CCDC151	CCDC183	-2.110702615	0.923308338	0.010463763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	73370316	73377296	augustus_masked-scaffold-Z-processed-gene-244.16	mmgt1	LOC103065395	LOC106541966	-2.314278388	0.748216299	0.002206531	NA	NA	NA	-1.763264	1.283205853	0.031830099	NA	NA	NA	NA	NA	NA
scaffold-Z	76019262	76025730	maker-scaffold-Z-augustus-gene-253.5	LOC100554045	LOC103066672	LOC106543057	2.3064314	1.10296402	0.011285979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	76177000	76197977	maker-scaffold-Z-augustus-gene-254.4	LOC100554667	LOC103054127	LOC106540565	-2.301652016	0.764640021	0.002648066	NA	NA	NA	-2.054507854	1.002131764	0.009842509	NA	NA	NA	NA	NA	NA
scaffold-Z	78705314	78725203	maker-scaffold-Z-augustus-gene-262.7	acbd4	ACBD4	ACBD4	-1.834269657	0.869766858	0.016649773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	82524307	82551849	maker-scaffold-Z-augustus-gene-275.6	gsdma	NA	GSDMA	2.673347189	0.785344974	0.000892065	NA	NA	NA	2.59462014	1.235476634	0.006247748	NA	NA	NA	NA	NA	NA
scaffold-Z	83579902	83616308	maker-scaffold-Z-augustus-gene-278.4	top2a	TOP2A	LOC106554533	1.794191847	1.20170665	0.035263784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	85095456	85103061	maker-scaffold-Z-augustus-gene-283.12	LOC100565120	LOC107326684	LOC106553170	-1.373663476	0.848967331	0.049788126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	87779404	87782707	augustus_masked-scaffold-Z-processed-gene-292.2	itpr2	ITPR2	LOC106552147	-1.442594079	0.704539353	0.025050422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	93117423	93121456	maker-scaffold-Z-augustus-gene-310.13	adm	NA	NA	2.061117538	1.684193768	0.016562808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	95282677	95292974	maker-scaffold-Z-augustus-gene-317.13	LOC107983226	LOC103062755	LOC106542189	2.59092658	1.187226252	0.007308769	NA	NA	NA	1.989813015	1.238400557	0.019773407	NA	NA	NA	4.015670259	0.750462396	0.000287806
scaffold-Z	95282677	95292974	maker-scaffold-Z-augustus-gene-317.13	LOC107983226	LOC103062755	LOC106542189	2.944775505	1.262975468	0.003878892	NA	NA	NA	1.989813015	1.238400557	0.019773407	NA	NA	NA	4.015670259	0.750462396	0.000287806
scaffold-Z	97993420	98038864	augustus_masked-scaffold-Z-processed-gene-326.0	LOC103279780	LOC103050897	LOC106550458	2.039993373	0.907887128	0.011637369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	98171630	98180651	maker-scaffold-Z-augustus-gene-327.12	LOC100564338	LOC103057682	LOC106550457	-1.91135647	1.1931494	0.027863751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	100586575	100588709	maker-scaffold-Z-augustus-gene-335.16	LOC100567735	LOC103051251	LOC106540355	-1.8265183	0.71718641	0.008354336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	102254745	102259346	maker-scaffold-Z-augustus-gene-340.16	fgf21	FGF21	FGF21	5.065964253	1.54638186	3.32E-05	NA	NA	NA	NA	NA	NA	-4.599313507	2.449411018	0.006701995	NA	NA	NA
scaffold-Z	102126461	102200775	augustus_masked-scaffold-Z-processed-gene-340.3	plekha4	PLEKHA4	PLEKHA4	1.528245201	0.896794173	0.038277051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	113348062	113377492	augustus_masked-scaffold-Z-processed-gene-377.3	LOC100566783	ACAN	LOC106556566	-2.708488255	1.787330349	0.005437847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-Z	113521383	113548160	augustus_masked-scaffold-Z-processed-gene-378.16	iqgap1	LOC103067498	IQGAP3	2.19677497	1.230916911	0.016930459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	100838	109419	augustus_masked-scaffold-ma4-processed-gene-0.4	tmem72	TMEM72	NA	-3.226685778	1.014856944	0.000841355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	533812	548754	maker-scaffold-ma4-augustus-gene-1.11	slbp	SLBP	SLBP	2.852557721	1.131052472	0.003592544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	517912	530255	maker-scaffold-ma4-augustus-gene-1.14	tacc1	TACC3	LOC106548218	1.764435453	1.14097967	0.035263784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	4764877	4804738	maker-scaffold-ma4-augustus-gene-16.9	diaph3	DIAPH3	DIAPH1	2.789790125	1.130419545	0.004071374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	20525019	20548983	maker-scaffold-ma4-augustus-gene-68.6	ednrb	EDNRB	EDNRB	2.314766701	0.813937946	0.003563377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	20525019	20548983	maker-scaffold-ma4-augustus-gene-68.6	ednrb	EDNRB	EDNRB	2.549945001	0.601744278	0.000105538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	25945125	26052642	maker-scaffold-ma4-augustus-gene-86.5	dock6	DOCK7	DOCK7	-1.225719802	0.66265954	0.040804072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	25945125	26052642	maker-scaffold-ma4-augustus-gene-86.5	dock6	DOCK7	DOCK7	-1.758708441	0.734365391	0.011316933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	34155813	34225019	augustus_masked-scaffold-ma4-processed-gene-114.0	atp10a	ATP10A	LOC106553290	2.716059396	1.530387102	0.007419072	NA	NA	NA	1.643422899	1.275635413	0.039390469	NA	NA	NA	NA	NA	NA
scaffold-ma4	37172680	37194378	maker-scaffold-ma4-augustus-gene-124.4	plcxd1	PLCXD1	PLCXD1	-2.10660133	1.408069488	0.021940581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	44920399	44931080	augustus_masked-scaffold-ma4-processed-gene-149.4	frmpd4	FRMPD4	FRMPD4	-1.652846134	0.789765606	0.019807372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	58216181	58224830	maker-scaffold-ma4-augustus-gene-194.7	sik1	LOC103048486	LOC106537783	2.914737771	0.80486277	0.000460266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	59256943	59274752	maker-scaffold-ma4-augustus-gene-197.6	fam3b	FAM3B	FAM3B	-1.582986058	1.41829712	0.0487001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	62435488	62447915	maker-scaffold-ma4-augustus-gene-208.9	LOC103278369	IFNGR2	LOC106546647	2.317255969	0.939670214	0.006610897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	66968153	66976419	maker-scaffold-ma4-augustus-gene-223.2	cxadr	CXADR	CXADR	1.582130994	0.593467104	0.007857195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	70511174	70515692	maker-scaffold-ma4-augustus-gene-235.5	LOC103281904	HMCN1	LOC106543415	1.926697976	1.025982841	0.021184001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	77386651	77409065	maker-scaffold-ma4-augustus-gene-258.3	cd47	CD47	CD47	3.027756109	0.905131806	0.000771326	NA	NA	NA	1.915772752	1.201107505	0.021627958	NA	NA	NA	NA	NA	NA
scaffold-ma4	79482584	79495972	maker-scaffold-ma4-augustus-gene-265.16	nfkbiz	NFKBIZ	NFKBIZ	2.276739416	1.707665375	0.012017185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	79963674	79983089	maker-scaffold-ma4-augustus-gene-266.10	tmem45a	TMEM45A	NA	3.439274732	1.754081816	0.001537811	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	88732541	88838976	augustus_masked-scaffold-ma4-processed-gene-296.0	flt1	FLT1	FLT4	1.888441024	0.829494806	0.012426416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	88732541	88838976	augustus_masked-scaffold-ma4-processed-gene-296.0	flt1	FLT1	FLT4	3.447575465	0.685215552	5.28E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	90008215	90024316	maker-scaffold-ma4-augustus-gene-300.5	mtmr6	MTMR6	MTMR6	-2.075682543	0.74554368	0.004563798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	90307811	90357196	maker-scaffold-ma4-augustus-gene-301.3	spata13	SPATA13	LOC106548849	1.459118383	1.486988429	0.04894745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	90388321	90437130	maker-scaffold-ma4-augustus-gene-301.5	mipep	MIPEP	MIPEP	1.239590023	0.692591027	0.044058257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	95600142	95614300	augustus_masked-scaffold-ma4-processed-gene-318.7	birc2	BIRC2	LOC106549668	1.866963385	0.599141052	0.00266375	NA	NA	NA	2.593262563	1.105022088	0.004275458	NA	NA	NA	NA	NA	NA
scaffold-ma4	96140528	96155344	maker-scaffold-ma4-augustus-gene-320.6	pgr	PGR	NR3C1	-2.3591555	1.286980862	0.013235546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma4	97344873	97378389	augustus_masked-scaffold-ma4-processed-gene-324.2	piwil4	PIWIL4	PIWIL4	3.712195085	1.552378801	0.000940299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-mi9	4481372	4482040	augustus_masked-scaffold-mi9-processed-gene-15.1	LOC100561905	CLDN5	LOC106556674	1.750808402	0.912800954	0.02347955	NA	NA	NA	NA	NA	NA	-4.199340685	0.888276231	0.000206467	NA	NA	NA
scaffold-mi9	5209112	5234687	augustus_masked-scaffold-mi9-processed-gene-17.11	sppl3	SPPL3	SPPL3	-1.628425342	0.849730087	0.026008972	NA	NA	NA	-1.91488051	0.809738389	0.005507868	NA	NA	NA	NA	NA	NA
scaffold-mi9	6073469	6087246	maker-scaffold-mi9-augustus-gene-20.10	upb1	UPB1	UPB1	-3.508280673	0.844533587	7.01E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	4028522	4056311	augustus_masked-scaffold-ma7-processed-gene-13.4	prkg2	PRKG2	PRKG2	-2.521523236	1.017825456	0.005486642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	6868929	6883578	maker-scaffold-ma7-augustus-gene-23.10	nudt9	NUDT9	TRPM2	-2.093555877	1.090313982	0.016814444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	12247399	12265207	maker-scaffold-ma7-augustus-gene-40.7	eif4e	EIF4E	EIF4E1B	1.407174275	0.684422676	0.025496856	NA	NA	NA	1.160224506	0.565452831	0.029284986	NA	NA	NA	NA	NA	NA
scaffold-ma7	22366629	22396993	maker-scaffold-ma7-augustus-gene-74.6	smarca5	LOC103059419	LOC106549654	1.787214173	0.945577615	0.023566658	NA	NA	NA	2.409431677	0.934163517	0.00314074	NA	NA	NA	NA	NA	NA
scaffold-ma7	23703555	23720431	maker-scaffold-ma7-augustus-gene-79.5	setd7	SETD7	SETD7	2.234720059	1.146448168	0.013983138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	30307732	30316349	maker-scaffold-ma7-augustus-gene-101.5	LOC100564988	LOC103053142	LOC106556442	2.25737754	1.030376363	0.010473525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	31172615	31178199	maker-scaffold-ma7-augustus-gene-103.8	mad2l1	MAD2L1	MAD2L1	2.652811095	1.142544896	0.005798654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	36522819	36555104	maker-scaffold-ma7-augustus-gene-121.14	stox2	STOX2	STOX2	2.790140987	1.362257363	0.006125359	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	40026295	40051915	maker-scaffold-ma7-augustus-gene-133.4	neil3	NEIL3	NEIL3	1.868636429	1.577045408	0.026123398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	49178923	49196377	maker-scaffold-ma7-augustus-gene-164.5	tdo2	TDO2	NA	-2.08130609	0.693714164	0.003039934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma7	51997321	52003934	maker-scaffold-ma7-augustus-gene-173.5	msmo1	LOC103059956	MSMO1	-1.294202821	0.623585265	0.026562645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	129610	130947	augustus_masked-scaffold-ma3-processed-gene-0.3	kcnv2	LOC103063916	LOC106553981	-1.670527929	1.513393771	0.037649688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	4673972	4686184	augustus_masked-scaffold-ma3-processed-gene-15.8	oplah	OPLAH	OPLAH	-3.134052628	1.089741902	0.001588906	NA	NA	NA	NA	NA	NA	2.24556225	1.602692361	0.041106092	NA	NA	NA
scaffold-ma3	7738806	7740731	maker-scaffold-ma3-augustus-gene-26.9	LOC103279307	LOC103060075	NA	3.928440284	1.014857748	8.20E-05	NA	NA	NA	3.926711249	1.035459752	0.000123164	NA	NA	NA	NA	NA	NA
scaffold-ma3	18760232	18768491	maker-scaffold-ma3-augustus-gene-62.7	tp53inp1	TP53INP1	TP53INP1	1.923066835	1.438328969	0.028792047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	31065533	31109796	maker-scaffold-ma3-augustus-gene-103.10	LOC100554761	LOC103065357	LOC106545489	2.662970545	1.455974547	0.008337667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	42856856	42858744	maker-scaffold-ma3-augustus-gene-142.9	LOC100558555	TUBB6	TUBB6	2.387557042	1.031873004	0.007892786	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	50994506	51067528	maker-scaffold-ma3-augustus-gene-170.7	carmil1	CARMIL1	CARMIL1	1.813925628	1.018629498	0.026086927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	76176551	76193094	maker-scaffold-ma3-augustus-gene-254.3	srd5a1	SRD5A1	LOC106550141	1.361640488	0.746370455	0.037718129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
scaffold-ma3	82927515	83038617	maker-scaffold-ma3-augustus-gene-276.8	pde4dip	LOC103050557	PDE4DIP	3.727796658	1.046492541	0.000211697	NA	NA	NA	2.074313614	1.272235624	0.017783801	NA	NA	NA	NA	NA	NA
