Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-ma6,61685101,61740420,maker-scaffold-ma6-augustus-gene-205.9,slc6a12,LOC103064602,LOC106553070,88.39565536,2.433853092,0.721103464,2.14e-05,0.005051562
scaffold-mi10,3186923,3197070,maker-scaffold-mi10-augustus-gene-10.40,adamts4,ADAMTS4,ADAMTS4,1079.935244,-2.375231703,1.874700099,0.00044388,0.044808932
scaffold-ma2,4757964,4758398,augustus_masked-scaffold-ma2-processed-gene-15.10,NA,NA,LOC106544366,15.37034401,4.918663261,3.967231537,1.37e-05,0.004119413
scaffold-ma2,33764314,33772176,augustus_masked-scaffold-ma2-processed-gene-112.7,LOC107983262,NA,LOC106552097,26.46136588,5.921750873,2.408099613,4.89e-06,0.001911676
scaffold-ma2,44835370,44890130,augustus_masked-scaffold-ma2-processed-gene-149.3,LOC100553301,LOC103060470,LOC106554613,169.1846979,-2.835875192,2.314652163,0.000289653,0.033959237
scaffold-ma2,45901201,45920587,maker-scaffold-ma2-augustus-gene-153.7,LOC100558791,LOC103063202,LOC106542515,11.91410141,3.974238848,1.845252346,5.54e-05,0.009847204
scaffold-ma2,52070032,52086785,augustus_masked-scaffold-ma2-processed-gene-173.5,slc34a1,SLC34A1,LOC106541877,284.1612574,2.743529436,1.61214059,0.000211716,0.027377839
scaffold-ma2,123034756,123037672,maker-scaffold-ma2-augustus-gene-410.9,LOC100554192,LOC103063573,LOC106539635,25.65764435,2.332034784,2.01564332,0.000507608,0.049126279
scaffold-ma2,130044080,130044932,maker-scaffold-ma2-augustus-gene-433.7,LOC103277701,TIMP1,LOC106554122,100.0080501,1.568382288,2.744928579,0.000332615,0.036550652
scaffold-ma2,129809178,129813674,maker-scaffold-ma2-augustus-gene-432.24,LOC100558620,LOC103061285,LOC106548910,10.45577061,5.716389755,2.963059584,8.23e-06,0.002927852
scaffold-ma2,156855262,156857944,maker-scaffold-ma2-augustus-gene-522.16,slc26a1,SLC26A2,LOC106549908,655.3001083,4.718764736,0.953718366,8.31e-08,6.87e-05
scaffold-ma2,168481471,168630748,maker-scaffold-ma2-augustus-gene-562.1,adamtsl1,ADAMTSL1,LOC106541295,219.6383507,4.142505532,0.872604622,3.45e-07,0.000206467
scaffold-ma2,176714100,176724547,maker-scaffold-ma2-augustus-gene-589.7,fxn,FXN,FXN,61.1043391,-2.699220015,0.969564985,4.94e-05,0.009202328
scaffold-ma2,178060393,178070754,maker-scaffold-ma2-augustus-gene-593.7,LOC100566148,LOC103057652,LOC106551360,24.02394765,3.587497728,1.211826134,2.83e-05,0.006148602
scaffold-ma2,188719246,188768238,maker-scaffold-ma2-augustus-gene-629.4,slc12a2,SLC12A2,SLC12A2,9.175321231,2.678677256,2.954448068,0.000193256,0.026067944
scaffold-ma2,203367917,203421949,maker-scaffold-ma2-augustus-gene-678.8,adgrv1,LOC103065311,LOC106539107,19.94853989,3.403831306,3.186038188,8.55e-05,0.013930699
scaffold-un870,3590,4186,augustus_masked-scaffold-un870-processed-gene-0.0,NA,NA,NA,76.8303152,2.632534315,1.492524208,0.000204353,0.027097593
scaffold-un10,2259371,2279566,augustus_masked-scaffold-un10-processed-gene-7.9,NA,NA,NA,76.51463101,4.133474058,1.447006827,2.27e-05,0.005232106
scaffold-un1871,415,1461,augustus_masked-scaffold-un1871-processed-gene-0.0,NA,NA,NA,181.1162935,3.854665063,0.714494014,1.91e-08,2.49e-05
scaffold-un188,29045,35656,maker-scaffold-un188-augustus-gene-0.4,NA,NA,NA,17.5964659,3.105397664,1.896050936,0.000181538,0.024700166
scaffold-un381,1230,2406,augustus_masked-scaffold-un381-processed-gene-0.0,NA,NA,NA,13.18002278,2.359893888,2.636034618,0.00037453,0.039330675
scaffold-un332,6591,6992,augustus_masked-scaffold-un332-processed-gene-0.0,NA,NA,NA,160.8454305,-2.688615811,2.036454184,0.0003311,0.036550652
scaffold-un56,11877,29168,maker-scaffold-un56-augustus-gene-0.5,NA,NA,NA,484.4354738,2.689990294,1.560815083,0.000210877,0.027377839
scaffold-un3514,3,1058,augustus_masked-scaffold-un3514-processed-gene-0.0,NA,NA,NA,2909.642943,2.697209525,1.142630361,8.85e-05,0.014268144
scaffold-un144,20302,37987,maker-scaffold-un144-augustus-gene-0.3,NA,NA,NA,73.06877018,4.223257884,1.370780836,1.59e-05,0.004585384
