Chr,Start,End,GeneID,Homolog_Anolis,Homolog_Python,Homolog_Thamnophis,baseMean,log2FoldChange,lfcSE,pvalue,padj
scaffold-mi7,2970037,2978943,augustus_masked-scaffold-mi7-processed-gene-9.4,LOC100559998,SLC2A1,SLC2A1,23.59666346,1.564300743,0.920549143,0.001111071,0.026933457
scaffold-mi7,3292457,3293266,augustus_masked-scaffold-mi7-processed-gene-11.1,kcnj15,KCNJ10,KCNJ10,207.6076808,-3.224598557,0.856743519,1.48e-06,0.000202829
scaffold-mi7,3280719,3283773,maker-scaffold-mi7-augustus-gene-11.40,kcnj9,KCNJ9,KCNJ9,76.25659659,-3.272517293,0.972546021,4.34e-06,0.000483183
scaffold-mi7,3818575,3825033,maker-scaffold-mi7-augustus-gene-12.35,itpkc,ITPKC,ITPKC,224.3689379,1.309494359,0.783825745,0.002007669,0.039523818
scaffold-mi7,4537178,4539675,maker-scaffold-mi7-augustus-gene-15.18,chp2,LOC103050226,CHP1,345.8325243,-1.230775965,0.63237326,0.001285367,0.029542166
scaffold-mi7,6465620,6474047,maker-scaffold-mi7-augustus-gene-21.20,NA,ASS1,ASS1,1254.826397,-2.560874638,0.839312064,1.25e-05,0.001079335
scaffold-mi7,7800557,7808080,maker-scaffold-mi7-augustus-gene-26.23,tor4a,TOR4A,TOR4A,387.2979809,-1.782496997,1.006451346,0.000671801,0.019189167
scaffold-mi7,7800557,7808080,maker-scaffold-mi7-augustus-gene-26.23,tor4a,TOR4A,TOR4A,27.33750103,-2.264799464,0.694632979,5.77e-06,0.000602336
scaffold-mi7,7860802,7876678,maker-scaffold-mi7-augustus-gene-26.35,nsmf,NSMF,LOC106539271,43.71029815,-1.439205533,0.978628348,0.002325655,0.042966613
scaffold-mi7,9395334,9398049,augustus_masked-scaffold-mi7-processed-gene-31.5,dnai2,WDR34,WDR34,165.7449012,-1.590018306,0.752043545,0.000342179,0.012456625
scaffold-mi7,9398321,9425771,augustus_masked-scaffold-mi7-processed-gene-31.9,LOC100565020,SPTAN1,LOC106539410,90.3347312,1.100510905,0.430486649,0.000446484,0.014757358
scaffold-mi7,11613626,11616621,maker-scaffold-mi7-augustus-gene-38.20,ccdc70,NA,NA,17.46563895,-2.709724337,1.707364059,0.00017118,0.007488411
scaffold-Z,319267,336096,maker-scaffold-Z-augustus-gene-1.6,pth1r,PTH1R,PTH1R,11.83453079,-3.66711306,1.364216224,1.13e-05,0.001004672
scaffold-Z,609911,613753,augustus_masked-scaffold-Z-processed-gene-2.0,htr2b,HTR2B,HTR2A,402.271148,-1.071566031,0.416330444,0.00049576,0.015906334
scaffold-Z,3018491,3021259,maker-scaffold-Z-augustus-gene-10.8,NA,NA,LOC106539889,7.530444359,-1.492539644,1.106444472,0.00256989,0.046211414
scaffold-Z,2946064,2957264,maker-scaffold-Z-augustus-gene-10.5,slc22a13,LOC103066375,LOC106539887,550.5967564,-4.109065524,0.988928846,1.89e-07,4.24e-05
scaffold-Z,2946064,2957264,maker-scaffold-Z-augustus-gene-10.5,slc22a13,LOC103066375,LOC106539887,7.336231947,-1.88788959,1.436520825,0.001126921,0.027128179
scaffold-Z,2991330,2995295,augustus_masked-scaffold-Z-processed-gene-10.1,NA,NA,LOC106539889,24.77195554,-1.860396806,1.17528714,0.000895907,0.023059915
scaffold-Z,5067633,5143468,maker-scaffold-Z-augustus-gene-17.11,kmt2c,LOC103049419,KMT2C,51.34437103,-1.982660521,1.045257857,0.000388879,0.013377881
scaffold-Z,25351665,25380455,maker-scaffold-Z-augustus-gene-84.5,hepacam2,HEPACAM2,HEPACAM2,15.68945105,-1.515713854,1.122069336,0.002441688,0.044511727
scaffold-Z,27543623,27621746,maker-scaffold-Z-augustus-gene-92.8,col28a1,COL28A1,COL28A1,17.44868921,1.739454562,1.391520141,0.001607474,0.034225397
scaffold-Z,31342736,31361187,maker-scaffold-Z-augustus-gene-104.2,agmo,AGMO,AGMO,7.005267383,-1.769205838,1.602252929,0.00119844,0.028197878
scaffold-Z,33527631,33576547,maker-scaffold-Z-augustus-gene-111.6,abcb5,LOC103048581,ABCB5,27.91568067,-1.552969683,1.09781926,0.002053903,0.039936362
scaffold-Z,73370316,73377296,augustus_masked-scaffold-Z-processed-gene-244.16,mmgt1,LOC103065395,LOC106541966,12.53663798,-1.763264,1.283205853,0.001434591,0.031830099
scaffold-Z,73550571,73554543,maker-scaffold-Z-augustus-gene-245.11,LOC100557368,LOC103052901,LOC106540289,311.814227,-3.387594816,0.899451492,1.34e-06,0.000194462
scaffold-Z,76177000,76197977,maker-scaffold-Z-augustus-gene-254.4,LOC100554667,LOC103054127,LOC106540565,78.16397303,-2.054507854,1.002131764,0.000246736,0.009842509
scaffold-Z,76202279,76205736,maker-scaffold-Z-augustus-gene-254.5,hsd17b6,LOC103063622,HSD17B6,4175.424071,-2.26434626,0.971309049,0.000101234,0.005116494
scaffold-Z,76202279,76205736,maker-scaffold-Z-augustus-gene-254.5,hsd17b6,LOC103063622,HSD17B6,108.7081302,-1.597526554,0.881230075,0.000790079,0.021338278
scaffold-Z,82524307,82551849,maker-scaffold-Z-augustus-gene-275.6,gsdma,NA,GSDMA,504.3390315,2.59462014,1.235476634,0.000129918,0.006247748
scaffold-Z,91835946,91874304,maker-scaffold-Z-augustus-gene-306.10,etv4,ETV4,ETV4,11.22614518,1.570366907,1.361607582,0.002426975,0.044291754
scaffold-Z,94834998,94852625,maker-scaffold-Z-augustus-gene-316.10,LOC100562367,LOC103067344,LOC106539747,20.60581504,-1.799864193,1.382323681,0.001386046,0.0311764
scaffold-Z,95282677,95292974,maker-scaffold-Z-augustus-gene-317.13,LOC107983226,LOC103062755,LOC106542189,232.1752505,1.989813015,1.238400557,0.00070175,0.019773407
scaffold-Z,100868658,100874716,maker-scaffold-Z-augustus-gene-336.17,cabp5,CABP5,CABP5,14.80973121,-3.251549239,1.572119627,4.84e-05,0.00314074
scaffold-Z,100639660,100654059,augustus_masked-scaffold-Z-processed-gene-335.10,LOC100560530,LOC103048987,LOC106557085,7.691775896,-3.137497397,1.540675702,6.19e-05,0.003650204
scaffold-Z,100683108,100693069,augustus_masked-scaffold-Z-processed-gene-335.11,LOC100566571,LOC103049384,LOC106556681,42.16296537,-3.041319764,0.809527262,1.59e-06,0.000212924
scaffold-Z,101478377,101499323,augustus_masked-scaffold-Z-processed-gene-338.5,LOC100553928,LOC103068100,LOC106538721,123766.6723,-1.176313418,0.469183412,0.000353101,0.012684254
scaffold-Z,101478377,101499323,augustus_masked-scaffold-Z-processed-gene-338.5,LOC100553928,LOC103068100,LOC106538721,16366.58993,-1.766694848,0.602092754,1.72e-05,0.00138562
scaffold-Z,104763789,104780818,maker-scaffold-Z-augustus-gene-349.16,LOC100553861,LOC103055981,SULT2B1,8.544187038,-1.543947179,1.34373259,0.00260464,0.046634919
scaffold-Z,105926197,105946383,augustus_masked-scaffold-Z-processed-gene-353.1,LOC100567223,LOC103064677,LOC106550521,9.000381149,-1.898891595,1.12985811,0.000701262,0.019773407
scaffold-Z,113738473,113740367,maker-scaffold-Z-augustus-gene-378.37,bglap,BGLAP,BGLAP,19.28156572,-1.547354508,1.40480899,0.002475867,0.044986895
scaffold-ma4,8528824,8573140,augustus_masked-scaffold-ma4-processed-gene-28.0,klhl1,LOC103064684,LOC106547548,21.74615003,-2.731645246,1.052704782,3.98e-05,0.002667448
scaffold-ma4,22876608,22892289,maker-scaffold-ma4-augustus-gene-76.6,slc10a2,SLC10A2,SLC10A2,42.84129646,-4.518095496,1.047522196,5.79e-08,1.57e-05
scaffold-ma4,25658333,25686762,augustus_masked-scaffold-ma4-processed-gene-85.4,ankrd10,ANKRD10,ANKRD10,1296.547843,1.820810103,0.514594864,1.53e-06,0.000208468
scaffold-ma4,32223353,32265755,maker-scaffold-ma4-augustus-gene-107.8,tbc1d8,TBC1D8,TBC1D8,25.60230082,1.4338124,0.912417435,0.001906427,0.038244248
scaffold-ma4,32139041,32152295,maker-scaffold-ma4-augustus-gene-107.7,rnf149,RNF149,LOC106549725,97.51596124,1.117903611,0.429995274,0.000361535,0.012868791
scaffold-ma4,34155813,34225019,augustus_masked-scaffold-ma4-processed-gene-114.0,atp10a,ATP10A,LOC106553290,55.32155002,1.643422899,1.275635413,0.001988156,0.039390469
scaffold-ma4,72640087,72657910,maker-scaffold-ma4-augustus-gene-242.8,pdzk1,PDZK1,PDZK1,23.80846333,-2.812151325,1.145829828,5.11e-05,0.003220085
scaffold-ma4,73445289,73462992,maker-scaffold-ma4-augustus-gene-244.16,gpa33,GPA33,GPA33,122.7134784,-2.318979709,0.791545045,1.75e-05,0.001402775
scaffold-ma4,73640029,73666898,maker-scaffold-ma4-augustus-gene-245.13,cd247,CD247,CD247,11.93534706,-1.830383393,1.038401495,0.000643002,0.018700056
scaffold-ma4,77386651,77409065,maker-scaffold-ma4-augustus-gene-258.3,cd47,CD47,CD47,140.4237996,1.915772752,1.201107505,0.000803921,0.021627958
scaffold-ma4,79922485,79942624,maker-scaffold-ma4-augustus-gene-266.9,tfg,TFG,TFG,30.54804626,1.366543781,0.617544724,0.000411474,0.013817608
scaffold-ma4,88545642,88548203,maker-scaffold-ma4-augustus-gene-295.4,mtus2,NA,LOC106553373,6.784141466,-2.88914055,1.603162147,0.000116253,0.005682489
scaffold-ma4,89139555,89140462,maker-scaffold-ma4-augustus-gene-297.5,tmem184c,TMEM184C,TMEM184C,23.98376353,1.89828816,1.260995139,0.000951798,0.024169863
scaffold-ma4,89945646,89955788,maker-scaffold-ma4-augustus-gene-299.8,shisa2,SHISA2,SHISA2,271.5001171,-1.958469133,0.875637804,0.000159081,0.007185576
scaffold-ma4,91531551,91603889,maker-scaffold-ma4-augustus-gene-305.6,zmym2,ZMYM2,ZMYM2,131.5099891,0.986907605,0.38783406,0.000850086,0.022378426
scaffold-ma4,92122462,92134526,maker-scaffold-ma4-augustus-gene-307.9,fdx1,FDX1,FDX1,12.17843501,1.730557967,1.183455604,0.001364996,0.030886118
scaffold-ma4,95600142,95614300,augustus_masked-scaffold-ma4-processed-gene-318.7,birc2,BIRC2,LOC106549668,1037.429616,2.593262563,1.105022088,7.8e-05,0.004275458
scaffold-ma4,95582462,95582549,trnascan-scaffold-ma4-noncoding-Pseudo_GCA-gene-318.0,NA,NA,NA,63.93810507,2.267046243,1.16080861,0.000251555,0.009958405
scaffold-ma4,97871469,97918862,maker-scaffold-ma4-augustus-gene-326.6,deup1,LOC103049352,LOC106548285,145.731039,-1.338781149,1.66675543,0.001096475,0.026672789
scaffold-mi9,5209112,5234687,augustus_masked-scaffold-mi9-processed-gene-17.11,sppl3,SPPL3,SPPL3,255.6702176,-1.91488051,0.809738389,0.000111192,0.005507868
scaffold-mi9,6604923,6622504,maker-scaffold-mi9-augustus-gene-21.20,LOC103281943,SLC2A11,LOC106548565,65.52993062,-1.673557411,0.66753685,8.63e-05,0.004550334
scaffold-mi9,6658289,6690381,maker-scaffold-mi9-augustus-gene-21.32,LOC103281944,SLC2A11,LOC106548562,15.22589725,-3.036416335,0.924607878,6.11e-06,0.000633049
scaffold-ma7,1079264,1107522,maker-scaffold-ma7-augustus-gene-3.7,gc,GC,NA,6.256086665,-1.582939829,1.384753116,0.002327539,0.042966613
scaffold-ma7,12247399,12265207,maker-scaffold-ma7-augustus-gene-40.7,eif4e,EIF4E,EIF4E1B,91.24324144,1.160224506,0.565452831,0.001269269,0.029284986
scaffold-ma7,12406165,12420882,maker-scaffold-ma7-augustus-gene-41.10,LOC100552738,NA,LOC106553020,45.14934234,-1.114075974,0.583507853,0.0021233,0.040717795
scaffold-ma7,12294262,12396422,augustus_masked-scaffold-ma7-processed-gene-41.1,adh5,LOC103067637,LOC106556012,89.49311141,-3.251793122,0.751249448,2.33e-07,5.11e-05
scaffold-ma7,12294262,12396422,augustus_masked-scaffold-ma7-processed-gene-41.1,adh5,LOC103067637,LOC106556012,6357.551535,-1.631374698,1.063039999,0.001429099,0.031758943
scaffold-ma7,12619289,12622312,maker-scaffold-ma7-augustus-gene-42.7,ddit4l,DDIT4L,DDIT4L,5.404073953,-1.731191899,1.584966219,0.001321343,0.030169208
scaffold-ma7,13542239,13564740,maker-scaffold-ma7-augustus-gene-45.8,ube2d2,UBE2D3,LOC106551931,26.90224766,1.418129389,0.630761131,0.000322575,0.011888456
scaffold-ma7,16402589,16417662,maker-scaffold-ma7-augustus-gene-54.14,cfi,LOC103056264,LOC106539605,123.9854502,-1.706043831,1.018094015,0.000936987,0.02385919
scaffold-ma7,18717435,18724254,maker-scaffold-ma7-augustus-gene-62.4,hsd3b7,HSD3B7,HSD3B7,34.31550827,-1.642403751,0.566706158,2.24e-05,0.001711033
scaffold-ma7,22366629,22396993,maker-scaffold-ma7-augustus-gene-74.6,smarca5,LOC103059419,LOC106549654,31.47028095,2.409431677,0.934163517,4.86e-05,0.00314074
scaffold-ma7,24425676,24433802,maker-scaffold-ma7-augustus-gene-81.2,pcdh18,PCDH18,PCDH18,44.68630955,-1.346139422,0.722354728,0.001141993,0.027364469
scaffold-ma7,30239580,30255286,maker-scaffold-ma7-augustus-gene-100.8,fgf2,FGF2,FGF2,182.1793962,-1.701829037,0.849752239,0.000404304,0.01371143
scaffold-ma7,40501287,40594211,augustus_masked-scaffold-ma7-processed-gene-135.1,wdr17,WDR17,WDR17,18.22722422,1.823323367,1.040475621,0.000664823,0.019121007
scaffold-ma7,55447695,55467503,maker-scaffold-ma7-augustus-gene-184.20,pitpnc1,LOC103062246,PITPNC1,41.48743259,-1.289455231,0.829793089,0.00273299,0.047958462
scaffold-ma7,57319443,57321512,augustus_masked-scaffold-ma7-processed-gene-191.5,slc10a4,SLC10A4,LOC106555083,22.56973187,-1.59745206,1.169378614,0.00202223,0.039666309
scaffold-ma7,57567038,57579199,maker-scaffold-ma7-augustus-gene-192.7,rbpj,RBPJ,RBPJL,20.51934689,1.224580413,0.699480387,0.002098574,0.040454422
scaffold-ma7,61487779,61500451,maker-scaffold-ma7-augustus-gene-204.26,klb,KLB,LOC106544068,16.33174665,-1.52454836,0.649587643,0.000186442,0.008004723
scaffold-ma3,7738806,7740731,maker-scaffold-ma3-augustus-gene-26.9,LOC103279307,LOC103060075,NA,137.8521342,3.926711249,1.035459752,7.28e-07,0.000123164
scaffold-ma3,21735079,21755379,maker-scaffold-ma3-augustus-gene-72.12,atp6v0d2,LOC103065402,ATP6V0D2,1104.395475,-1.484132697,1.006202514,0.002107358,0.040518485
scaffold-ma3,23576152,23590434,maker-scaffold-ma3-augustus-gene-78.2,zc2hc1a,ZC2HC1A,ZC2HC1A,81.186938,1.270694639,0.550514698,0.000423435,0.0141301
scaffold-ma3,25456891,25468762,maker-scaffold-ma3-augustus-gene-84.5,pi15,PI15,PI15,70.09117237,3.435802586,1.018209009,3.72e-06,0.000429826
scaffold-ma3,29050463,29051249,maker-scaffold-ma3-augustus-gene-96.9,nkain3,NKAIN3,LOC106550101,16.91220321,-2.096598711,1.126222005,0.000370939,0.013091647
scaffold-ma3,32995053,32998912,maker-scaffold-ma3-augustus-gene-110.1,snai2,SNAI2,SNAI2,94.65318533,-2.290294776,0.924339334,6.71e-05,0.003857188
scaffold-ma3,49226621,49243856,maker-scaffold-ma3-augustus-gene-164.2,galr1,GALR1,GALR1,25.43450855,1.598329504,0.985134853,0.001255393,0.029130667
scaffold-ma3,50713480,50725826,maker-scaffold-ma3-augustus-gene-169.12,LOC100551580,TXNL4A,TXNL4A,48.73681236,1.615951905,0.691273773,0.000163832,0.007285242
scaffold-ma3,51425562,51468836,augustus_masked-scaffold-ma3-processed-gene-171.5,dcdc2,DCDC2,DCDC2,141.2455024,-1.345220476,0.665407207,0.000751278,0.020704565
scaffold-ma3,55233589,55301423,maker-scaffold-ma3-augustus-gene-184.5,phactr1,PHACTR1,LOC106554479,9.947459588,-3.995026503,1.767770174,8.66e-06,0.000838367
scaffold-ma3,76874466,76876286,augustus_masked-scaffold-ma3-processed-gene-256.2,cd93,CD93,LOC106554182,55.86591199,-1.46916099,0.999841373,0.002194374,0.041525564
scaffold-ma3,78867878,78905836,maker-scaffold-ma3-augustus-gene-263.6,kiaa0232,KIAA0232,LOC106553276,20.81411567,1.921851127,1.044304249,0.000477377,0.015495388
scaffold-ma3,81849422,81873738,augustus_masked-scaffold-ma3-processed-gene-272.4,polr3f,POLR3F,POLR3F,47.11997162,1.254956785,0.536088958,0.000408416,0.013761251
scaffold-ma3,82927515,83038617,maker-scaffold-ma3-augustus-gene-276.8,pde4dip,LOC103050557,PDE4DIP,139.5101553,2.074313614,1.272235624,0.000591854,0.017783801
scaffold-ma3,98311554,98335723,maker-scaffold-ma3-augustus-gene-328.12,LOC100565260,LOC103055801,LOC106554120,6.969860204,-2.929019299,1.858429062,9.35e-05,0.004855677
scaffold-ma3,98420180,98452367,maker-scaffold-ma3-augustus-gene-328.15,LOC100564874,LOC103055801,LOC106554120,7.705520127,-2.660608204,1.841714486,0.000161822,0.007262099
scaffold-ma3,98355350,98372056,maker-scaffold-ma3-augustus-gene-328.13,LOC100564475,LOC103055801,LOC106554120,12.8695735,-2.70203097,1.627676369,0.000178555,0.007778333
scaffold-ma3,100762684,100875659,maker-scaffold-ma3-augustus-gene-336.4,vav3,VAV2,LOC106549720,10.35740738,-1.650754372,1.166447946,0.001699607,0.035350878
scaffold-ma3,100951907,100982073,augustus_masked-scaffold-ma3-processed-gene-336.3,ntng1,NTNG1,NTNG1,12.07489767,-1.840783716,1.197344855,0.001000175,0.024972002
scaffold-ma3,105517950,105530361,maker-scaffold-ma3-augustus-gene-351.5,hs3st5,HS3ST5,HS3ST5,83.14190041,-1.036508022,0.538555736,0.002820961,0.048661591
scaffold-ma3,108071787,108092213,maker-scaffold-ma3-augustus-gene-360.3,NA,NA,NA,5.253622967,-3.041536323,1.635459051,8.26e-05,0.004412868
scaffold-ma3,113033227,113036824,maker-scaffold-ma3-augustus-gene-376.8,cyr61,CYR61,CYR61,28.33512114,-1.338462827,0.591768527,0.000386854,0.013377881
scaffold-ma3,113205516,113207392,maker-scaffold-ma3-augustus-gene-377.6,bcl10,BCL10,BCL10,15.31020186,1.604726061,1.211029649,0.002093081,0.040393171
scaffold-ma3,127704053,127709205,maker-scaffold-ma3-augustus-gene-425.16,dio1,DIO1,DIO1,118.0879233,-1.961163246,1.051155968,0.000429227,0.014300454
scaffold-ma3,132401672,132428059,maker-scaffold-ma3-augustus-gene-441.4,pomgnt1,POMGNT1,POMGNT1,23.95738839,1.507317396,0.732497183,0.000467733,0.015337974
scaffold-ma3,132105352,132123723,augustus_masked-scaffold-ma3-processed-gene-440.5,LOC100555992,LOC103050466,LOC106556225,5.659654791,-2.52571523,1.693055163,0.000254469,0.010054683
scaffold-ma3,133830461,133837275,maker-scaffold-ma3-augustus-gene-446.13,LOC100552065,LOC103061551,LOC106546850,5.183106681,-1.520811358,1.547932207,0.001944746,0.038788746
scaffold-ma3,136620773,136643995,maker-scaffold-ma3-augustus-gene-455.9,slc16a4,SLC16A4,SLC16A4,57.12205447,-1.967901166,0.793629824,7.53e-05,0.004180011
scaffold-ma3,137196746,137228340,maker-scaffold-ma3-augustus-gene-457.13,gnai3,GNAI3,GNAI3,134.2267783,1.10216101,0.606394006,0.002719802,0.047888215
scaffold-ma3,139288456,139308035,maker-scaffold-ma3-augustus-gene-464.13,rab44,CRACR2A,RAB44,75.56759286,2.076347531,1.117033312,0.000382121,0.013372938
scaffold-ma3,139288456,139308035,maker-scaffold-ma3-augustus-gene-464.13,rab44,CRACR2A,RAB44,15.55429262,2.166652753,1.695307504,0.000511716,0.016267893
scaffold-ma3,140742971,140756659,maker-scaffold-ma3-augustus-gene-469.9,LOC100553121,LOC103066327,LOC106543189,5.160473026,1.531926565,1.513440432,0.002109858,0.040529125
scaffold-ma3,143490310,143500443,maker-scaffold-ma3-augustus-gene-478.7,golt1a,GOLT1A,KISS1,21.07522141,-2.762091851,1.111352211,5e-05,0.003211134
scaffold-ma3,151042173,151066471,maker-scaffold-ma3-augustus-gene-503.9,phtf1,PHTF1,PHTF1,67.63202695,1.676198854,0.766117112,0.000241474,0.009669625
scaffold-ma3,152742826,152755913,augustus_masked-scaffold-ma3-processed-gene-509.1,syt2,SYT2,SYT2,70.32310927,-1.295082898,0.657366447,0.000992641,0.024882033
scaffold-ma3,154007967,154009079,augustus_masked-scaffold-ma3-processed-gene-513.3,LOC100556708,LOC103067082,LOC106543329,11.97067238,-1.674924293,1.152684873,0.001532295,0.033112509
scaffold-ma3,156295128,156301965,maker-scaffold-ma3-augustus-gene-521.6,snta1,SNTA1,SNTA1,60.48474259,-1.058050904,0.482356354,0.001399232,0.031295596
scaffold-ma3,157461622,157490906,maker-scaffold-ma3-augustus-gene-525.11,ahcy,AHCY,AHCY,326.4101685,-1.020408436,0.489880399,0.002154645,0.041048657
scaffold-ma3,164175989,164180090,augustus_masked-scaffold-ma3-processed-gene-547.3,tp53rk,TP53RK,TP53RK,23.4644002,-1.251199857,0.719981243,0.0020025,0.03950041
scaffold-ma3,163856598,163862604,maker-scaffold-ma3-augustus-gene-546.10,fitm2,FITM2,FITM2,342.8836996,1.023336133,0.458948776,0.001520697,0.033053727
scaffold-ma3,163970644,163971768,maker-scaffold-ma3-augustus-gene-546.13,LOC100562255,TNFSF12,LOC106546072,150.3079854,-1.300205643,0.607976644,0.000619683,0.018329071
scaffold-ma3,166751134,166761923,maker-scaffold-ma3-augustus-gene-555.3,tmem269,TMEM269,TMEM269,404.7378857,1.31047012,0.772437184,0.001885488,0.038117981
scaffold-ma3,167281320,167339263,maker-scaffold-ma3-augustus-gene-557.7,ripor3,RIPOR3,RIPOR3,59.83110606,-1.652465911,0.976179596,0.000977666,0.024608593
scaffold-ma3,176168888,176182249,maker-scaffold-ma3-augustus-gene-587.5,lsm14b,LSM14B,LSM14B,164.8569428,1.010425456,0.394715548,0.000717563,0.020052227
